country,year,co2_per_gdp_million
Brazil,2000,0.00019553803432752545
Brazil,2001,0.00019387481288003186
Brazil,2002,0.0001867954525961313
Brazil,2003,0.00018092240152924217
Brazil,2004,0.00017730842885538118
Brazil,2005,0.00017112930369041508
Brazil,2006,0.00016461537147593127
Brazil,2007,0.00016235809457998336
Brazil,2008,0.00016119662604657724
Brazil,2009,0.00015051735823854025
Brazil,2010,0.00015609649518081613
Brazil,2011,0.0001556065356824227
Brazil,2012,0.00016442590966989543
Brazil,2013,0.00017057178471101123
Brazil,2014,0.00017768462408600645
Brazil,2015,0.0001748316581088691
Brazil,2016,0.00016828616870300975
Brazil,2017,0.00016795004237628587
Brazil,2018,0.00015815314487542428
Brazil,2019,0.0001562861867146255
Brazil,2020,0.00015184463933862712
Brazil,2021,0.00016030719792054036
Brazil,2022,0.00015061054651275657
Brazil,2023,
China,2000,0.0006121290970975621
China,2001,0.0005883520672184993
China,2002,0.0006013918366627734
China,2003,0.0006670578599696882
China,2004,0.0006654312548788108
China,2005,0.0006837187319045186
China,2006,0.0006835086689992941
China,2007,0.0006733466126675033
China,2008,0.0006937958221868515
China,2009,0.0006810508386271281
China,2010,0.0006695836553862513
China,2011,0.000695331744250315
China,2012,0.0006611525669754192
China,2013,0.0006243064978785606
China,2014,0.0005832587010994514
China,2015,0.0005386546694852514
China,2016,0.0004987373399129607
China,2017,0.0004785986746351345
China,2018,0.000464100558379156
China,2019,0.0004533489181439183
China,2020,0.0004511672502367145
China,2021,0.0004310214787945947
China,2022,0.0004343173114456154
China,2023,
Denmark,2000,0.0002606731707079906
Denmark,2001,0.0002646094624927323
Denmark,2002,0.0002601850202568672
Denmark,2003,0.00028135116755197305
Denmark,2004,0.00024760823059959434
Denmark,2005,0.00022497028123289898
Denmark,2006,0.0002485265778465872
Denmark,2007,0.0002252198705335611
Denmark,2008,0.00021085142844497383
Denmark,2009,0.00021010517408517331
Denmark,2010,0.00020651561138742004
Denmark,2011,0.00018222702741000816
Denmark,2012,0.00016382972195018943
Denmark,2013,0.0001700597623375871
Denmark,2014,0.00015055184151855548
Denmark,2015,0.00013747385132807405
Denmark,2016,0.00014000069701681367
Denmark,2017,0.00012785275830852588
Denmark,2018,0.00012515618548277337
Denmark,2019,0.0001102772068201316
Denmark,2020,0.00010288724907861953
Denmark,2021,0.00010264397095954723
Denmark,2022,9.716493342443286e-05
Denmark,2023,
Germany,2000,0.00033068089329266106
Germany,2001,0.0003276522619417045
Germany,2002,0.00031845971403754464
Germany,2003,0.000315891001071906
Germany,2004,0.00030282680380193155
Germany,2005,0.0002946499785294137
Germany,2006,0.00028721025571000773
Germany,2007,0.00026275793963066686
Germany,2008,0.0002604553623738544
Germany,2009,0.00025186783212184313
Germany,2010,0.0002504314286428186
Germany,2011,0.00023200939855974937
Germany,2012,0.00023378526568721184
Germany,2013,0.00023781408598208244
Germany,2014,0.00022171786154605473
Germany,2015,0.00022072951430559003
Germany,2016,0.00021515026037437272
Germany,2017,0.00020601753345391143
Germany,2018,0.00019730073939936096
Germany,2019,0.00018234107469684572
Germany,2020,0.00017291616989748297
Germany,2021,0.00017651409293962047
Germany,2022,0.00017082075438984003
Germany,2023,
India,2000,0.0003519602664379645
India,2001,0.0003404572111206444
India,2002,0.00034140670568582015
India,2003,0.0003286251535925025
India,2004,0.0003246362211515521
India,2005,0.00031854825748830367
India,2006,0.0003177805267143255
India,2007,0.00031646988143429924
India,2008,0.0003205399637256349
India,2009,0.0003230869768727271
India,2010,0.00031307848107658026
India,2011,0.00030865054890532695
India,2012,0.0003183823353580722
India,2013,0.00031058387171062243
India,2014,0.00031243546727698074
India,2015,0.0003019428400523368
India,2016,0.00029197021977243957
India,2017,0.0002837091917417793
India,2018,0.00028291398025029286
India,2019,0.0002721259968413521
India,2020,0.0002708381397538774
India,2021,0.0002729934155876155
India,2022,0.000270242917650359
India,2023,
Netherlands,2000,0.0002851161526466584
Netherlands,2001,0.00028615339283991314
Netherlands,2002,0.0002830413676067704
Netherlands,2003,0.00028606813770224067
Netherlands,2004,0.0002817285158937705
Netherlands,2005,0.0002682202977699167
Netherlands,2006,0.0002506009795528349
Netherlands,2007,0.00023991680228790824
Netherlands,2008,0.00023844761365034994
Netherlands,2009,0.00023870608774128924
Netherlands,2010,0.00025059145648157155
Netherlands,2011,0.00022742778107526828
Netherlands,2012,0.00022491858933713931
Netherlands,2013,0.00022408806177124033
Netherlands,2014,0.0002110002394137661
Netherlands,2015,0.00021542715575003233
Netherlands,2016,0.0002119048719921676
Netherlands,2017,0.00020276759649466211
Netherlands,2018,0.00019316958927602168
Netherlands,2019,0.0001828358546281558
Netherlands,2020,0.00017060723321483202
Netherlands,2021,0.000166153801723387
Netherlands,2022,0.00014495416026740046
Netherlands,2023,
Norway,2000,0.0001735562439744524
Norway,2001,0.00017035855066399738
Norway,2002,0.0001593933825754727
Norway,2003,0.00015806372872737584
Norway,2004,0.00014864155389528917
Norway,2005,0.00013741948810871716
Norway,2006,0.00013192361699676864
Norway,2007,0.00012930512224173323
Norway,2008,0.00012246274018527908
Norway,2009,0.00011644542585486816
Norway,2010,0.00011897771742371201
Norway,2011,0.00011210003338692482
Norway,2012,0.00010787369218180759
Norway,2013,0.00010746652958486608
Norway,2014,0.00010634053706541703
Norway,2015,0.00010567354610511622
Norway,2016,0.00010258680060147144
Norway,2017,9.897575478517721e-05
Norway,2018,9.877284261420582e-05
Norway,2019,9.414791380915045e-05
Norway,2020,9.182726025718994e-05
Norway,2021,8.791712860895784e-05
Norway,2022,8.465807867071564e-05
Norway,2023,
Sweden,2000,0.00018089165453119682
Sweden,2001,0.00018087660271136368
Sweden,2002,0.000178395159294757
Sweden,2003,0.00017530814342958743
Sweden,2004,0.00016504180914849055
Sweden,2005,0.00015172768939789374
Sweden,2006,0.00014413219470812608
Sweden,2007,0.0001363275974555944
Sweden,2008,0.00013050782202556185
Sweden,2009,0.00012637981189403714
Sweden,2010,0.00013262589370403714
Sweden,2011,0.00012352058067431376
Sweden,2012,0.00011790919300373654
Sweden,2013,0.00011277240095721113
Sweden,2014,0.00010566135771517168
Sweden,2015,0.00010094690513010474
Sweden,2016,9.889453639384123e-05
Sweden,2017,9.429687437885058e-05
Sweden,2018,9.140353674737672e-05
Sweden,2019,8.730234660237421e-05
Sweden,2020,8.015578273985394e-05
Sweden,2021,8.010094925114918e-05
Sweden,2022,7.353486885582929e-05
Sweden,2023,
United Kingdom,2000,0.0003011454551544188
United Kingdom,2001,0.0002980356025123449
United Kingdom,2002,0.0002823964754162977
United Kingdom,2003,0.00027875349600059045
United Kingdom,2004,0.00027312346921551156
United Kingdom,2005,0.0002638341185353022
United Kingdom,2006,0.00025663977121002924
United Kingdom,2007,0.00024676231190394325
United Kingdom,2008,0.0002419731745642444
United Kingdom,2009,0.00022965966765705657
United Kingdom,2010,0.0002336484302145918
United Kingdom,2011,0.00021129581322213106
United Kingdom,2012,0.00021615587054196823
United Kingdom,2013,0.00020799584510334005
United Kingdom,2014,0.00018517207588137694
United Kingdom,2015,0.00017410763059961723
United Kingdom,2016,0.00016112720763026352
United Kingdom,2017,0.00015253380405955326
United Kingdom,2018,0.00014701986907415462
United Kingdom,2019,0.00013899137835201867
United Kingdom,2020,0.00013973892097426905
United Kingdom,2021,0.00013628188418886436
United Kingdom,2022,0.00011896388633853037
United Kingdom,2023,
United States,2000,0.0004652014861312898
United States,2001,0.0004515563555109835
United States,2002,0.00044695764695785724
United States,2003,0.0004390379844850106
United States,2004,0.000430423516941617
United States,2005,0.00041753956388920375
United States,2006,0.00040127846623959546
United States,2007,0.0003992348913885025
United States,2008,0.00038716686291475916
United States,2009,0.00036908656926931693
United States,2010,0.00037200811950167045
United States,2011,0.00035786367530974485
United States,2012,0.00033677626733649073
United States,2013,0.00033949110556545984
United States,2014,0.0003354119218000662
United States,2015,0.00031695672536414507
United States,2016,0.00030460754826898537
United States,2017,0.0002950914583355172
United States,2018,0.0002957973449900962
United States,2019,0.00028240323169907223
United States,2020,0.0002601575651066506
United States,2021,0.00026284159394583315
United States,2022,0.0002593422697581297
United States,2023,
