country,iso_code,year,population,gdp,co2,co2_per_capita,co2_growth_prct,methane,nitrous_oxide,total_ghg,ghg_per_capita,cumulative_co2,share_global_co2
Brazil,BRA,2000,174018278.0,1739728033832.0,340.183,1.955,3.95,417.31,123.375,2823.803,16.227,7522.605,1.333
Brazil,BRA,2001,176301201.0,1785513006345.0,346.166,1.963,1.759,429.615,127.265,2783.375,15.788,7868.771,1.347
Brazil,BRA,2002,178503485.0,1861742323845.0,347.765,1.948,0.462,450.588,132.379,2981.136,16.701,8216.536,1.324
Brazil,BRA,2003,180622688.0,1904932706436.0,344.645,1.908,-0.897,471.538,137.421,3846.776,21.297,8561.181,1.246
Brazil,BRA,2004,182675144.0,2038447931287.0,361.434,1.979,4.871,494.991,145.924,3313.758,18.14,8922.615,1.263
Brazil,BRA,2005,184688101.0,2129214530430.0,364.371,1.973,0.812,497.686,145.947,3057.048,16.552,9286.985,1.231
Brazil,BRA,2006,186653099.0,2240805319046.0,368.871,1.976,1.235,493.284,143.004,2819.171,15.104,9655.856,1.206
Brazil,BRA,2007,188552311.0,2405626901513.0,390.573,2.071,5.883,491.52,155.795,2745.828,14.563,10046.431,1.24
Brazil,BRA,2008,190367297.0,2559842659987.0,412.638,2.168,5.649,488.155,148.711,2616.45,13.744,10459.067,1.287
Brazil,BRA,2009,192079958.0,2589568436235.0,389.775,2.029,-5.541,486.858,144.287,2432.428,12.664,10848.843,1.237
Brazil,BRA,2010,193701931.0,2820492538862.0,440.269,2.273,12.955,507.871,162.328,2422.236,12.505,11289.112,1.321
Brazil,BRA,2011,195284736.0,2968455007203.0,461.911,2.365,4.916,505.267,159.959,2379.088,12.183,11751.023,1.34
Brazil,BRA,2012,196876113.0,3025484250011.0,497.468,2.527,7.698,506.852,161.607,2503.241,12.715,12248.492,1.423
Brazil,BRA,2013,198478290.0,3116394665745.0,531.569,2.678,6.855,506.459,161.161,2568.796,12.942,12780.061,1.507
Brazil,BRA,2014,200085126.0,3132099937531.0,556.526,2.781,4.695,512.64,167.812,2628.207,13.135,13336.586,1.569
Brazil,BRA,2015,201675534.0,3021043246476.0,528.174,2.619,-5.094,521.174,165.629,2617.904,12.981,13864.759,1.492
Brazil,BRA,2016,203218108.0,2922076150345.0,491.745,2.42,-6.897,524.133,164.676,2512.195,12.362,14356.505,1.389
Brazil,BRA,2017,204703440.0,2960731613785.0,497.255,2.429,1.12,522.645,173.265,2431.265,11.877,14853.759,1.382
Brazil,BRA,2018,206107265.0,3013541086239.0,476.601,2.312,-4.154,522.116,167.676,2423.189,11.757,15330.359,1.297
Brazil,BRA,2019,207455459.0,3050327159562.0,476.724,2.298,0.026,528.946,175.207,2468.734,11.9,15807.083,1.285
Brazil,BRA,2020,208660845.0,2950377451264.0,447.999,2.147,-6.025,535.772,183.761,2571.217,12.322,16255.082,1.274
Brazil,BRA,2021,209550291.0,3097565215045.0,496.562,2.37,10.84,545.361,189.952,2774.466,13.24,16751.645,1.347
Brazil,BRA,2022,210306411.0,3187412907763.0,480.058,2.283,-3.324,566.221,194.986,2875.004,13.671,17231.701,1.279
Brazil,BRA,2023,211140731.0,,483.992,2.292,0.819,566.203,196.181,2817.818,13.346,17715.695,1.271
